LineItem [description=A+, amount=135.0, type=Expense, date=Tue Sep 01 00:00:00 HST 2015] CalculatedFields [balance=30135.0, accruedInterest=3.2859534246575346, runningAccruedInterest=3.2859534246575346]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Mar 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Wed Mar 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 27 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Wed Apr 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Fri Apr 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Fri Apr 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Apr 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Thu Apr 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 10 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Wed Apr 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Apr 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 24 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sat Apr 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri May 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun May 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sun May 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue May 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 08 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat May 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri May 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed May 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 22 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon May 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Jun 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Jun 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Wed Jun 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Jun 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Jun 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Jun 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 19 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Jun 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Jun 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Wed Jul 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Fri Jul 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Fri Jul 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Jul 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Thu Jul 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Wed Jul 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 17 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Jul 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sat Jul 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 31 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Sat Aug 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Mon Aug 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Mon Aug 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Aug 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sun Aug 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 14 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sat Aug 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu Aug 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Tue Aug 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 28 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Sep 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Sep 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Sep 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Sep 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Sep 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 11 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Sep 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Sep 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Sep 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Oct 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Oct 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sat Oct 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Oct 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Oct 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Oct 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Oct 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 23 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Oct 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Sun Nov 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Tue Nov 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Tue Nov 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu Nov 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 06 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Mon Nov 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sun Nov 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Nov 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Wed Nov 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Dec 01 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Dec 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Dec 03 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 04 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Dec 05 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Dec 09 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Dec 15 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 18 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Dec 20 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Dec 25 00:00:00 HST 2020] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Jan 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Jan 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sun Jan 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jan 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Jan 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Jan 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Jan 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Jan 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 29 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Feb 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Feb 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Wed Feb 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Feb 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Feb 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 12 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Feb 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Feb 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Feb 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 26 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Mar 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Mar 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Wed Mar 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Mar 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Mar 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 12 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Mar 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Mar 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Mar 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 26 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Apr 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Apr 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sat Apr 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Apr 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Apr 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Apr 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Apr 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 23 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Apr 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Sat May 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Mon May 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Mon May 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed May 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 07 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sun May 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sat May 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu May 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 21 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Tue May 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Jun 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Jun 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Jun 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 04 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Jun 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Jun 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Jun 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 18 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Jun 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Jun 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Jul 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 02 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Jul 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sat Jul 03 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Jul 05 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Jul 09 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Jul 15 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 16 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jul 20 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Jul 25 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 30 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
LineItem [description=A+, amount=135.0, type=Expense, date=Sun Aug 01 00:00:00 HST 2021] CalculatedFields [balance=null, accruedInterest=null, runningAccruedInterest=null]
